ID,PurchaseOrderItem,PurchaseOrderItemText,Plant,StorageLocation,Material,MaterialGroup,ProductType,NetPriceQuantity,NetPriceAmount,OrderQuantity,OrderPriceUnit,DocumentCurrency_code,PurchaseOrder_PurchaseOrder
a1a1a1a1-a1a1-a1a1-a1a1-a1a1a1a1a1a1,00001,Monitor 24 pulgadas,PL01,SL01,MON-24-001,MG001,IT,1,120.00,2.00,EA,USD,PO00000001
b2b2b2b2-b2b2-b2b2-b2b2-b2b2b2b2b2b2,00002,Teclado mecánico,PL01,SL01,TCL-MEC-002,MG002,IT,1,45.50,5.00,EA,USD,PO00000002
c3c3c3c3-c3c3-c3c3-c3c3-c3c3c3c3c3c3,00003,Mouse óptico,PL02,SL02,MSE-OPT-003,MG002,IT,1,18.75,10.00,EA,USD,PO00000003
d4d4d4d4-d4d4-d4d4-d4d4-d4d4d4d4d4d4,00004,Impresora láser,PL02,SL02,IMP-LSR-004,MG003,IT,1,210.00,1.00,EA,USD,PO00000004
e5e5e5e5-e5e5-e5e5-e5e5-e5e5e5e5e5e5,00005,Papel A4 caja,PL03,SL03,PAP-A4-005,MG004,OF,1,25.00,20.00,EA,USD,PO00000005
f6f6f6f6-f6f6-f6f6-f6f6-f6f6f6f6f6f6,00006,Tóner impresora,PL03,SL03,TNR-IMP-006,MG003,IT,1,75.00,3.00,EA,USD,PO00000006
g7g7g7g7-g7g7-g7g7-g7g7-g7g7g7g7g7g7,00007,Laptop 15 pulgadas,PL04,SL04,LPT-15-007,MG001,IT,1,850.00,2.00,EA,USD,PO00000007
h8h8h8h8-h8h8-h8h8-h8h8-h8h8h8h8h8h8,00008,Disco duro externo,PL04,SL04,HDD-EXT-008,MG005,IT,1,65.00,4.00,EA,USD,PO00000008
i9i9i9i9-i9i9-i9i9-i9i9-i9i9i9i9i9i9,00009,Router WiFi,PL05,SL05,RT-WIFI-009,MG006,IT,1,55.00,3.00,EA,USD,PO00000009
j0j0j0j0-j0j0-j0j0-j0j0-j0j0j0j0j0j0,00010,Switch 8 puertos,PL05,SL05,SW-8P-010,MG006,IT,1,120.00,2.00,EA,USD,PO00000010
